pid,registry_name,registry_parser,registry_maxX,registry_maxY,registry_maxP,registry_confidence,kernel_name,kernel_maxX,kernel_maxY,kernel_maxP,kernel_type,otd_name,otd_maxX,otd_maxY,otd_maxP,otd_parser,verdict,notes
0x00BC,Intuos4 WL (PTK-540WL),intuosV1,44704,27940,2047,experimental,Wacom Intuos4 WL,40640,25400,2047,INTUOS4,Wacom PTK-540WL,40640,25400,2047,WacomDriverIntuosV1ReportParser,kernel_disagrees,registry differs from BOTH kernel AND OTD: kernel maxX=40640 (registry 44704); kernel maxY=25400 (registry 27940)
0x0026,Intuos5 S (PTH-450),intuosV1,31496,19685,2047,experimental,Wacom Intuos5 touch S,31496,19685,2047,INTUOS5S,Wacom PTH-450,31496,19685,2047,WacomDriverIntuosV1ReportParser,cross_referenced,kernel + OTD both agree with registry
0x0027,Intuos5 M (PTH-650),intuosV1,44704,27940,2047,experimental,Wacom Intuos5 touch M,44704,27940,2047,INTUOS5,Wacom PTH-650,44704,27940,2047,WacomDriverIntuosV1ReportParser,cross_referenced,kernel + OTD both agree with registry
0x0028,Intuos5 L (PTH-850),intuosV1,65024,40640,2047,experimental,Wacom Intuos5 touch L,65024,40640,2047,INTUOS5L,Wacom PTH-850,65024,40640,2047,WacomDriverIntuosV1ReportParser,cross_referenced,kernel + OTD both agree with registry
0x0314,Intuos Pro S (PTH-451),intuosV1,31496,19685,2047,experimental,Wacom Intuos Pro S,31496,19685,2047,INTUOSPS,Wacom PTH-451,31496,19685,2047,WacomDriverIntuosV1ReportParser,cross_referenced,kernel + OTD both agree with registry
0x0316,Intuos Pro M (PTH-651),intuosV1,44704,27940,2047,verified,,,,,,,,,,,unknown,neither kernel nor OTD has this PID
0x0317,Intuos Pro L (PTH-851),intuosV1,44704,27940,1023,verified,Wacom Intuos Pro L,65024,40640,2047,INTUOSPL,Wacom PTH-851,65024,40640,2047,WacomDriverIntuosV1ReportParser,kernel_disagrees,registry differs from BOTH kernel AND OTD: kernel maxX=65024 (registry 44704); kernel maxY=40640 (registry 27940); kernel maxP=2047 (registry 1023)
0x0352,Intuos Pro S (PTH-460),intuosV2,31496,19685,8191,verified,,,,,,,,,,,unknown,neither kernel nor OTD has this PID
0x0357,Intuos Pro M (PTH-660),intuosV2,44800,29600,8191,verified,,,,,,Wacom PTH-660,44800,29600,8191,IntuosV2ReportParser,otd_only,OTD agrees; kernel has no entry
0x0358,Intuos Pro L (PTH-860),intuosV2,62200,43200,8191,verified,,,,,,Wacom PTH-860,62200,43200,8191,WacomDriverIntuosV2ReportParser,otd_only,OTD agrees; kernel has no entry
0x00D0,Bamboo Touch (CTT-460),bamboo,14720,9200,0,experimental,Wacom Bamboo 2FG,14720,9200,1023,BAMBOO_TOUCH,,,,,,kernel_disagrees,kernel maxP=1023 (registry 0)
0x00D1,Bamboo Pen & Touch (CTH-460),bamboo,14720,9200,1023,experimental,Wacom Bamboo 2FG 4x5,14720,9200,1023,BAMBOO_PT,Wacom CTH-460,14720,9200,1023,IntuosReportParser,cross_referenced,kernel + OTD both agree with registry; OTD parser=intuosV1 (OTD class IntuosReportParser)
0x00D4,Bamboo Capture (CTH-470),bamboo,14720,9200,1023,experimental,Wacom Bamboo Pen,14720,9200,1023,BAMBOO_PEN,Wacom CTL-460,14720,9200,1023,WacomDriverIntuosReportParser,cross_referenced,kernel + OTD both agree with registry; OTD parser=intuosV1 (OTD class WacomDriverIntuosReportParser)
0x00D6,Bamboo Pen (CTL-460),bamboo,14720,9200,1023,experimental,Wacom BambooPT 2FG 4x5,14720,9200,1023,BAMBOO_PT,Wacom CTH-460,14720,9200,1023,WacomDriverIntuosReportParser,cross_referenced,kernel + OTD both agree with registry; OTD parser=intuosV1 (OTD class WacomDriverIntuosReportParser)
0x00D7,Bamboo Pen (CTL-660),bamboo,21648,13530,1023,experimental,Wacom BambooPT 2FG Small,14720,9200,1023,BAMBOO_PT,Wacom CTH-461,14720,9200,1023,IntuosReportParser,kernel_disagrees,registry differs from BOTH kernel AND OTD: kernel maxX=14720 (registry 21648); kernel maxY=9200 (registry 13530); OTD parser=intuosV1 (OTD class IntuosReportParser)
0x00DA,Bamboo Pen & Touch 2 (CTH-461),bamboo,14720,9200,1023,experimental,Wacom Bamboo 2FG 4x5 SE,14720,9200,1023,BAMBOO_PT,Wacom CTH-461,14720,9200,1023,IntuosReportParser,cross_referenced,kernel + OTD both agree with registry; OTD parser=intuosV1 (OTD class IntuosReportParser)
0x00DB,Bamboo Connect (CTL-470),bamboo,14720,9200,1023,experimental,Wacom Bamboo 2FG 6x8 SE,21648,13700,1023,BAMBOO_PT,Wacom CTH-661,21648,13700,1023,IntuosReportParser,kernel_disagrees,registry differs from BOTH kernel AND OTD: kernel maxX=21648 (registry 14720); kernel maxY=13700 (registry 9200); OTD parser=intuosV1 (OTD class IntuosReportParser)
0x00C0,Cintiq 20WSX,cintiqV1,86680,54180,1023,experimental,Wacom DTF720,6858,5506,511,PL,,,,,,kernel_disagrees,kernel maxX=6858 (registry 86680); kernel maxY=5506 (registry 54180); kernel maxP=511 (registry 1023)
0x00C4,Cintiq 13HD (DTK-1300),cintiqV1,59152,33448,2047,experimental,Wacom DTF521,6282,4762,511,PL,,,,,,kernel_disagrees,kernel maxX=6282 (registry 59152); kernel maxY=4762 (registry 33448); kernel maxP=511 (registry 2047)
0x00C6,Cintiq 12WX,cintiqV1,53020,33440,1023,experimental,Wacom Cintiq 12WX,53020,33440,1023,WACOM_BEE,Wacom Cintiq 12WX (DTZ-1200W),52220,32640,2046,Intuos3ExtraAuxReportParser,otd_disagrees,OTD maxX=52220 (registry 53020); OTD maxY=32640 (registry 33440); OTD maxP=2046 (registry 1023); OTD parser=intuos3 (OTD class Intuos3ExtraAuxReportParser)
0x00CC,Cintiq 21UX (DTZ-2100),cintiqV1,87200,65600,1023,verified,Wacom Cintiq 21UX2,87200,65600,2047,WACOM_21UX2,,,,,,kernel_disagrees,kernel maxP=2047 (registry 1023)
0x00F4,Cintiq 24HD (DTK-2400),cintiqV1,104480,65600,2047,verified,Wacom Cintiq 24HD,104480,65600,2047,WACOM_24HD,,,,,,agree,kernel agrees; OTD has no entry
0x00F8,Cintiq 24HD Touch (DTH-2400),cintiqV1,104480,65600,2047,experimental,Wacom Cintiq 24HD touch,104480,65600,2047,WACOM_INTUOS3_RES,,,,,,agree,kernel agrees; OTD has no entry
0x00FA,Cintiq 22HD (DTK-2200),cintiqV1,95840,54090,2047,experimental,Wacom Cintiq 22HD,95840,54260,2047,WACOM_22HD,Wacom Cintiq 22HD (DTK-2200),95040,54260,2048,CintiqV1ReportParser,kernel_disagrees,registry differs from BOTH kernel AND OTD: kernel maxY=54260 (registry 54090)
0x00FB,Cintiq 21UX 2 (DTZ-2100B),cintiqV1,87200,65600,1023,experimental,Wacom DTU1031,22096,13960,511,DTUS,,,,,,kernel_disagrees,kernel maxX=22096 (registry 87200); kernel maxY=13960 (registry 65600); kernel maxP=511 (registry 1023); kernel parser=graphire (kernel type DTUS)
0x0029,Wacom PTK-450,intuosV1,31496,19685,2047,experimental,Wacom Intuos5 S,31496,19685,2047,INTUOS5S,Wacom PTK-450,31496,19685,2047,Wacom64bAuxReportParser,cross_referenced,kernel + OTD both agree with registry
0x002A,Wacom PTK-650,intuosV1,44704,27940,2047,experimental,Wacom Intuos5 M,44704,27940,2047,INTUOS5,Wacom PTK-650,44704,27940,2047,WacomDriverIntuosV1ReportParser,cross_referenced,kernel + OTD both agree with registry
0x0315,Wacom PTH-651,intuosV1,44704,27940,2047,experimental,Wacom Intuos Pro M,44704,27940,2047,INTUOSPM,Wacom PTH-651,44704,27940,2047,WacomDriverIntuosV1ReportParser,cross_referenced,kernel + OTD both agree with registry
0x0360,Wacom PTH-660,intuosV2,44800,29600,8191,verified,Wacom Intuos Pro M,44800,29600,8191,INTUOSP2_BT,Wacom PTH-660,44800,29600,8191,TabletReportParser,cross_referenced,kernel + OTD both agree with registry
0x0361,Intuos Pro L (PTH-860) BT,intuosV2,62200,43200,8191,verified,Wacom Intuos Pro L,62200,43200,8191,INTUOSP2_BT,,,,,,agree,kernel agrees; OTD has no entry
0x035B,Intuos Pro S (PTH-460) BT,intuosV2,31496,19685,8191,experimental,,,,,,,,,,,unknown,neither kernel nor OTD has this PID
0x0392,Wacom PTH-460,intuosV2,31920,19950,8191,experimental,,,,,,Wacom PTH-460,31920,19950,8191,WacomDriverIntuosV2ReportParser,otd_only,OTD agrees; kernel has no entry
0x03DC,Wacom PTH-460,intuosV2,31920,19950,8191,experimental,,,,,,Wacom PTH-460,31920,19950,8191,IntuosV2ReportParser,otd_only,OTD agrees; kernel has no entry
0x006A,Wacom CTE-460,intuosV1,15200,9500,511,experimental,Wacom Bamboo1 4x6,14760,9225,1023,GRAPHIRE,Wacom CTE-460,15200,9500,511,WacomDriverIntuosReportParser,kernel_disagrees,kernel maxX=14760 (registry 15200); kernel maxY=9225 (registry 9500); kernel maxP=1023 (registry 511); kernel parser=graphire (kernel type GRAPHIRE)
0x006B,Wacom CTE-660,bamboo,21648,13500,511,experimental,Wacom Bamboo1 5x8,21648,13530,1023,GRAPHIRE,Wacom CTE-660,21648,13500,511,BambooReportParser,kernel_disagrees,kernel maxY=13530 (registry 13500); kernel maxP=1023 (registry 511); kernel parser=graphire (kernel type GRAPHIRE)
0x0018,Wacom CTE-650,bamboo,21648,13530,511,experimental,Wacom BambooFun 6x8,21648,13530,511,WACOM_MO,Wacom CTE-650,21648,13530,511,BambooReportParser,cross_referenced,kernel + OTD both agree with registry
0x0069,Wacom CTF-430,bamboo,5104,3712,511,experimental,Wacom Bamboo1,5104,3712,511,GRAPHIRE,Wacom CTF-430,5104,3712,511,BambooReportParser,cross_referenced,kernel + OTD both agree with registry; kernel parser=graphire (kernel type GRAPHIRE)
0x0319,Wacom CTH-300,bamboo,10690,6680,511,experimental,,,,,,Wacom CTH-300,10690,6680,511,BambooPadReportParser,otd_only,OTD agrees; kernel has no entry
0x0318,Wacom CTH-301,bamboo,10690,6680,511,experimental,,,,,,Wacom CTH-301,10690,6680,511,BambooPadReportParser,otd_only,OTD agrees; kernel has no entry
0x00D2,Wacom CTH-461,intuosV1,14720,9200,1023,experimental,Wacom Bamboo Craft,14720,9200,1023,BAMBOO_PT,Wacom CTH-461,14720,9200,1023,WacomDriverIntuosReportParser,cross_referenced,kernel + OTD both agree with registry; kernel parser=bamboo (kernel type BAMBOO_PT)
0x00DE,Wacom CTH-470,intuosV1,14720,9200,1023,experimental,Wacom Bamboo 16FG 4x5,14720,9200,1023,BAMBOO_PT,Wacom CTH-470,14720,9200,1023,WacomDriverIntuosReportParser,cross_referenced,kernel + OTD both agree with registry; kernel parser=bamboo (kernel type BAMBOO_PT)
0x0302,Wacom CTH-480,intuosV1,15200,9500,1023,experimental,Wacom Intuos PT S,15200,9500,1023,INTUOSHT,Wacom CTH-480,15200,9500,1023,WacomDriverIntuosReportParser,cross_referenced,kernel + OTD both agree with registry
0x033C,Wacom CTH-490,intuosV1,15200,9500,2047,experimental,Wacom Intuos PT S 2,15200,9500,2047,INTUOSHT2,Wacom CTH-490,15200,9500,2047,WacomDriverIntuosV1ReportParser,cross_referenced,kernel + OTD both agree with registry
0x00D3,Wacom CTH-661,intuosV1,21648,13700,1023,experimental,Wacom Bamboo 2FG 6x8,21648,13700,1023,BAMBOO_PT,Wacom CTH-661,21648,13700,1023,WacomDriverIntuosReportParser,cross_referenced,kernel + OTD both agree with registry; kernel parser=bamboo (kernel type BAMBOO_PT)
0x00D8,Wacom CTH-661,intuosV1,21648,13700,1023,experimental,Wacom Bamboo Comic 2FG,21648,13700,1023,BAMBOO_PT,Wacom CTH-661,21648,13700,1023,IntuosReportParser,cross_referenced,kernel + OTD both agree with registry; kernel parser=bamboo (kernel type BAMBOO_PT)
0x00DF,Wacom CTH-670,intuosV1,21648,13700,1023,experimental,Wacom Bamboo 16FG 6x8,21648,13700,1023,BAMBOO_PT,Wacom CTH-670,21648,13700,1023,WacomDriverIntuosReportParser,cross_referenced,kernel + OTD both agree with registry; kernel parser=bamboo (kernel type BAMBOO_PT)
