pid,registry_name,registry_parser,registry_maxX,registry_maxY,registry_maxP,registry_confidence,kernel_name,kernel_maxX,kernel_maxY,kernel_maxP,kernel_type,otd_name,otd_maxX,otd_maxY,otd_maxP,otd_parser,verdict,notes
0x03C0,Wacom Cintiq Pro 27 (DTH-271),intuosV2,120032,67868,8191,experimental,,,,,,Wacom Cintiq Pro 27 (DTH-271),120032,67868,8191,IntuosV2ReportParser,otd_only,OTD agrees; kernel has no entry
0x03F0,Wacom Movink 13 (DTH-135),intuosV2,59552,33848,8191,experimental,,,,,,Wacom Movink 13 (DTH-135),59552,33848,8191,IntuosV3ReportParser,otd_only,OTD agrees; kernel has no entry
0x0084,ACK-40401 Wireless Dongle,intuosV1,0,0,0,experimental,,,,,,,,,,,unknown,neither kernel nor OTD has this PID
0x009D,Wireless Receiver (Intuos4/5 WL),intuosV1,0,0,0,experimental,,,,,,,,,,,unknown,neither kernel nor OTD has this PID
0x009A,Wireless Receiver (Intuos Pro gen1 WL),intuosV1,0,0,0,experimental,Wacom ISDv4 9A,26202,16325,255,TABLETPC,,,,,,kernel_disagrees,kernel maxX=26202 (registry 0); kernel maxY=16325 (registry 0); kernel maxP=255 (registry 0)
0x0000,<missing>,,,,,,Wacom Penpartner,5040,3780,255,WACOM_PENPRTN_RES,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0019,<missing>,,,,,,Wacom Bamboo1 Medium,16704,12064,511,GRAPHIRE,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0030,<missing>,,,,,,Wacom PL400,5408,4056,255,PL,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0031,<missing>,,,,,,Wacom PL500,6144,4608,255,PL,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0032,<missing>,,,,,,Wacom PL600,6126,4604,255,PL,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0033,<missing>,,,,,,Wacom PL600SX,6260,5016,255,PL,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0034,<missing>,,,,,,Wacom PL550,6144,4608,511,PL,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0035,<missing>,,,,,,Wacom PL800,7220,5780,511,PL,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0037,<missing>,,,,,,Wacom PL700,6758,5406,511,PL,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0038,<missing>,,,,,,Wacom PL510,6282,4762,511,PL,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0039,<missing>,,,,,,Wacom DTU710,34080,27660,511,PL,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0047,<missing>,,,,,,Wacom Intuos2 6x8,20320,16240,1023,INTUOS,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0057,<missing>,,,,,,Wacom DTK2241,95840,54260,2047,WACOM_INTUOS3_RES,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x005B,<missing>,,,,,,Wacom Cintiq 22HDT,95840,54260,2047,WACOM_22HD,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0063,<missing>,,,,,,Wacom Volito2 2x3,3248,2320,511,GRAPHIRE,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0064,<missing>,,,,,,Wacom PenPartner2,3250,2320,511,GRAPHIRE,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0081,<missing>,,,,,,Wacom Graphire BT,16704,12064,511,GRAPHIRE_BT,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0090,<missing>,,,,,,Wacom ISDv4 90,26202,16325,255,TABLETPC,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0093,<missing>,,,,,,Wacom ISDv4 93,26202,16325,255,TABLETPC,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0097,<missing>,,,,,,Wacom ISDv4 97,26202,16325,511,TABLETPC,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
